,Year,AreaHa,Shape__Length,StartDate,Label,FireName
30620,2014,0.0,34,2015-01-03,2014-15 Wildfire,Mt Bramina Lightning Strike
30621,2014,10000.0,701,2014-12-19,2014-15 Wildfire,Vault Creek
30622,2014,560000.0,4001,2014-12-16,2014-15 Wildfire,Ironbark Lagoon
30623,2014,40000.0,864,2015-01-05,2014-15 Wildfire,Big Rock Creek
30624,2014,0.0,42,2015-01-09,2014-15 Wildfire,Thelangerin
30625,2014,0.0,78,2015-01-08,2014-15 Wildfire,Flea Creek
30626,2014,0.0,16,2015-01-12,2014-15 Wildfire,Cooleman Campground
30638,2007,130000.0,1769,2007-10-03,2007-08 Wildfire,Wyrrabalong Fire
30639,2010,0.0,155,2010-10-01,2010-11 Wildfire,Unnamed
30640,2011,0.0,48,2011-10-01,2011-12 Wildfire,Unnamed standing tree
30642,2014,50000.0,1004,2015-03-01,2014-15 Wildfire,Dunns Rd
30643,2014,0.0,307,2015-03-09,2014-15 Wildfire,Murray Gates
30644,2014,30000.0,1123,2015-02-12,2014-15 Wildfire,Ukerbarley
30645,2014,100000.0,1401,2015-02-11,2014-15 Wildfire,Z- Line
30646,2014,2060000.0,7213,2015-02-25,2014-15 Wildfire,Macquarie Marshes Cresswell
30647,2014,1760000.0,5708,2015-03-01,2014-15 Wildfire,North Marsh Cresswell
30648,2014,2250000.0,9151,2015-03-04,2014-15 Wildfire,Brigalow Road
30652,2014,170000.0,1620,2015-03-16,2014-15 Wildfire,Pilliga West
30653,2014,0.0,278,2015-03-18,2014-15 Wildfire,"Gundamaian Rd, Royal National Park"
30656,2005,0.0,335,2005-08-27,2005-06 Wildfire,Bird Cage Point
30657,2005,450000.0,2967,2006-03-13,2005-06 Wildfire,Telopia Road
30658,2005,50000.0,899,2006-05-07,2005-06 Wildfire,Woods Point
30659,2005,380000.0,3236,2005-12-24,2005-06 Wildfire,Somersby Fall Road
30660,2005,0.0,167,2006-02-13,2005-06 Wildfire,Monkey Face
30661,2005,1130000.0,4187,2005-10-11,2005-06 Wildfire,Hawkmount Fire
30666,2005,10000.0,518,2005-10-04,2005-06 Wildfire,Wybung Head
30669,2005,70000.0,1238,2005-10-25,2005-06 Wildfire,Birdie Beach Drive
30677,2005,1480000.0,6965,2005-12-25,2005-06 Wildfire,Chittaway
30679,2005,150000.0,2017,2006-01-01,2005-06 Wildfire,Lees Fire
30695,2005,45380000.0,38933,2005-12-29,2005-06 Wildfire,Edderton Road
30730,2014,20000.0,851,2015-01-04,2014-15 Wildfire,Top Valley Station
30744,2014,20000.0,632,2014-12-02,2014-15 Wildfire,Little Nugra Rd
30745,2014,30000.0,752,2014-12-20,2014-15 Wildfire,Tamboy Huts
30746,2014,150000.0,1811,2015-03-05,2014-15 Wildfire,Stony Point
30747,2014,2640000.0,9777,2015-03-09,2014-15 Wildfire,Lilleys Fire
30748,2014,1880000.0,6153,2015-03-17,2014-15 Wildfire,Rookes Rd Fire
30749,2013,4440000.0,14672,2014-02-03,2013-14 Wildfire,Captains Creek Fire
30750,2014,0.0,306,2015-04-27,2014-15 Wildfire,"Pacific Hwy, Jacky Bulbin Flat"
30751,2014,2190000.0,9689,2015-03-19,2014-15 Wildfire,Rutile Road
30760,2014,320000.0,2328,2014-10-09,2014-15 Wildfire,Long Saddle
30768,2015,50000.0,1837,2015-07-21,2015-16 Wildfire,Yachting Point
30769,2015,0.0,239,2015-07-07,2015-16 Wildfire,"Snowy Mountains Highway, Blowering"
30770,2014,0.0,84,2015-06-05,2014-15 Wildfire,"Humes Crossing Accs, Blowering"
30975,2015,5900000.0,20423,2015-07-31,2015-16 Wildfire,Hordern Rd Fire
30976,2015,40000.0,952,2015-07-31,2015-16 Wildfire,George Booth Fire
30979,2015,0.0,9,2015-07-25,2015-16 Wildfire,"Burragorang Lookout Rd, Nattai"
30981,2015,0.0,284,2015-07-30,2015-16 Wildfire,"Peter Brock Dr, Eastern Creek, Blacktown"
31005,2015,1520000.0,8646,2015-08-23,2015-16 Wildfire,"Old Glen Innes Rd, Chambigne"
