2019,0.0,1,2020-01-06,2019-20 Wildfire,"Skyline Trail, Middle Brook"
2019,0.0,121,2020-01-17,2019-20 Wildfire,Red Bank Punt
2019,160000.0,2590,2019-10-17,2019-20 Wildfire,Rumba Complex
2019,70000.0,1724,2019-10-17,2019-20 Wildfire,Rumba Complex
2019,30000.0,1373,2019-10-17,2019-20 Wildfire,Rumba Complex
2019,460000.0,4876,2019-10-17,2019-20 Wildfire,Rumba Complex
2019,578110000.0,313311,2019-10-17,2019-20 Wildfire,Rumba Complex
2019,285380000.0,290164,2019-10-17,2019-20 Wildfire,Rumba Complex
2019,382030000.0,234275,2019-10-17,2019-20 Wildfire,Rumba Complex
2019,285000000.0,187628,2019-10-17,2019-20 Wildfire,Rumba Complex
2019,394060000.0,326439,2019-10-23,2019-20 Wildfire,Coombes Gap Complex
2019,230530000.0,175984,2019-12-10,2019-20 Wildfire,"Pearson Trail Complex, Dungowan"
2019,0.0,111,2019-10-28,2019-20 Wildfire,Queahgong Pit Fire
2019,224970000.0,156897,2020-01-04,2019-20 Wildfire,Erskine Creek Fire
2019,0.0,66,2019-11-11,2019-20 Wildfire,"New England Hwy, Whittingham"
2019,1323920000.0,720302,2019-10-29,2019-20 Wildfire,"Washpool State Forest, Coombadjha"
2019,18560000.0,22191,2019-10-29,2019-20 Wildfire,"Washpool State Forest, Coombadjha"
2019,260000.0,2115,2019-10-29,2019-20 Wildfire,"Washpool State Forest, Coombadjha"
2019,66940000.0,77403,2019-11-26,2019-20 Wildfire,Crumps Complex
2019,0.0,266,2020-01-17,2019-20 Wildfire,Bushfire - Mt Sugarloaf
2019,141280000.0,99645,2019-11-25,2019-20 Wildfire,Meads Creek West
2019,70000.0,1183,2019-11-26,2019-20 Wildfire,Red Ridge Fire Trail
2019,30720000.0,42691,2020-01-21,2019-20 Wildfire,"Mirrie Rd, Boomley"
2019,0.0,386,2020-01-21,2019-20 Wildfire,"Mirrie Rd, Boomley"
2019,58070000.0,84753,2019-11-22,2019-20 Wildfire,"Carters Rd, Stewarts Brook"
2019,67120000.0,133689,2019-11-07,2019-20 Wildfire,"MT Nardi Np, continuation 2"
2019,14140000.0,19944,2019-12-28,2019-20 Wildfire,Nine Mile Complex
2019,80000.0,1371,2019-12-27,2019-20 Wildfire,"Half Penny Hill, Ingebyra"
2019,371300000.0,205500,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,610000.0,4762,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,0.0,358,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,0.0,279,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,0.0,131,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,610000.0,5573,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,1180000.0,6027,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,20000.0,800,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,120000.0,1466,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,440000.0,3090,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,40000.0,907,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,10000.0,557,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,50000.0,952,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,10000.0,489,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,50000.0,1487,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,110000.0,1751,2019-11-25,2019-20 Wildfire,"North Black Range, Palerang"
2019,157790000.0,98178,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,180780000.0,77789,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,414050000.0,235178,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,161860000.0,116687,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,130000.0,1631,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,90000.0,1176,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,20000.0,680,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,0.0,366,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,20000.0,689,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,20000.0,596,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,170000.0,2013,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,0.0,319,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,20000.0,595,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,20000.0,765,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,68680000.0,68777,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,40000.0,926,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,40000.0,834,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,70000.0,1210,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,0.0,120,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,0.0,207,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,0.0,405,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,160000.0,1725,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,350000.0,3048,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,290000.0,2161,2019-12-30,2019-20 Wildfire,Adaminaby Complex
2019,770130000.0,18182,2019-12-28,2019-20 Wildfire,"Green Valley, Talmalmo"
2019,1316900000.0,193425,2019-12-28,2019-20 Wildfire,"Green Valley, Talmalmo"
2019,3230000.0,9345,2020-01-28,2019-20 Wildfire,Kydra Complex
2019,1090000.0,9096,2020-01-28,2019-20 Wildfire,Kydra Complex
2019,10000.0,620,2019-07-10,2019-20 Wildfire,Lynches Creek Wamban
2019,0.0,125,2019-07-10,2019-20 Wildfire,Lynches Creek Wamban
2019,0.0,313,2019-08-23,2019-20 Wildfire,HUSKISSON LOOP ROAD FIRE
2019,20000.0,812,2020-03-11,2019-20 Wildfire,River Bend Wetuppa MVNP
2019,40580000.0,52561,2019-12-27,2019-20 Wildfire,"Jacqua Creek, Bungonia"
2019,56590000.0,63242,2020-01-28,2019-20 Wildfire,Kydra Complex
2019,812020000.0,514158,2019-11-26,2019-20 Wildfire,Clyde Mountain Fire
2019,99960000.0,133962,2019-11-26,2019-20 Wildfire,Clyde Mountain Fire
